date,locality,state,resolved_locality,resolved_state,resolved_county,fips_code,lat,lon,location,title,event_type,organizations,participants,notables,targets,claims_summary,claims_verbatim,issue_tags_summary,issue_tags_verbatim,issues,valence,conf,macroevent,online,size_text,size_low,size_high,size_mean,size_cat,participant_measures,police_measures,participant_injuries,police_injuries,arrests,property_damage,arrests_any,participant_casualties_any,police_casualties_any,property_damage_any,participant_deaths,police_deaths,notes,coder,source1,source2,source3,source4,source5,source6,source7,source8,source9,source10,source11,source12,source13,source14,source15,source16,source17,source18,source19,source20,source21,source22,source23,source24,source25,source26,source27,source28,source29,source30,participants_numeric,claims_summary_norm,claims_summary_clean,trump_stance,pos_phrase_matches,neg_phrase_matches,pos_keyword_matches,neg_keyword_matches,no_participant_injuries,no_police_injuries,no_arrests,no_property_damage,no_participant_casualties,no_police_casualties,no_participant_deaths,no_police_deaths
2025-02-18,Huntington Beach,CA,Huntington Beach,CA,Orange County,6059.0,33.659484,-117.998803,Huntington Beach City Hall,,protest,,,,city council; donald trump,against huntington beach city council displaying a maga plaque at a public library; against donald trump; against racism,i will now engage in the time honored american tradition of peaceful civil disobedience,environment; war and peace; presidency; racism,war and peace,environment;presidency;racism;war and peace,1.0,1.0,,0,1.0,1.0,1.0,1.0,1,,on scene; arrested protester,0.0,0.0,1.0,0.0,1,0,0,0,0.0,0.0,arrested protester was ex-NFL Vikings punter Chris Kluwe,ML,nypost.com,kstp.com,www.nbcsports.com,www.usatoday.com,thehill.com,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,against huntington beach city council displaying a maga plaque at a public library; against donald trump; against racism,against huntington beach city council display maga plaque public library against trump against racism,Against,0,1,1,3,True,True,False,True,True,True,True,True
2025-02-19,Huntington Beach,CA,Huntington Beach,CA,Orange County,6059.0,33.659484,-117.998803,"City Council Chambers, 2000 Main Street",,civil disobedience,none,,,,against city council hanging sign with maga acronym; against maga movement; against trump,,war and peace; presidency,,presidency;war and peace,0.0,1.0,,0,count video,1.0,1.0,1.0,1,moved to restricted area of council chamber,,0.0,0.0,1.0,0.0,1,0,0,0,0.0,0.0,,JP,www.nbcsports.com,x.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,against city council hanging sign with maga acronym; against maga movement; against trump,against city council hang sign maga acronym against maga movement against trump,Against,0,1,2,3,True,True,False,True,True,True,True,True
2025-02-20,Los Angeles,CA,Los Angeles,CA,Los Angeles County,6037.0,34.052234,-118.243685,Garfield High School; Torres High School; Mariachi Plaza,,march,centro cso; seiu 721,LAUSD students,,president trump,against immigrants' deportation and family separation; against ice raids; against the trump adminstration's racist policies,stop donald trump!; raza si! migra no!; stop trump,immigration; war and peace; presidency; racism,immigration; war and peace; presidency,immigration;presidency;racism;war and peace,1.0,1.0,,0,,,,,0,walkout from 6 high schools then march to Mariachi Plaza; safety monitors formed a line in front of the police,"on scene; several LAPD police officers attempted to enter the plaza, but were met by safety monitors asking police not to enter; one officer reportedly aggressively pushed and knocked down a union organizer; called for backup until over 20 police arrived, many wearing helmets and batons",1.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,,SH,fightbacknews.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,against immigrants' deportation and family separation; against ice raids; against the trump administration's racist policies,against immigrant deportation family separation against ice raid against trump racist policy,Against,0,2,0,3,False,True,True,True,False,True,True,True
2025-02-26,Washington,DC,Washington,DC,District of Columbia,11001.0,38.9071923,-77.0368707,Cannon House Office,,protest; demonstration,,federal employees,,president trump,against president trump's recent mass firings of federal employees; against cuts to usaid,trump and rubio killing people with aids worldwide; stop the deadly global aid freeze; aids funding cuts kill,labor and workers rights; war and peace; presidency,healthcare; war and peace; presidency,healthcare;labor and workers rights;presidency;war and peace,1.0,1.0,,0,count pic,25.0,35.0,30.0,1,die-in,on scene,0.0,0.0,21.0,0.0,1,0,0,0,0.0,0.0,,ML,www.upi.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,against president trump's recent mass firings of federal employees; against cuts to usaid,against trump recent mass firing federal employee against cut usaid,Against,0,2,0,2,True,True,False,True,True,True,True,True
2025-03-01,New York,NY,New York,NY,,36061.0,40.7127753,-74.0059728,"Tesla Dealer,  860 Washington St, Manhattan",Pull Plug on Elon Musk,protest; civil disobedience,rise and resist; indivisible,,,tesla; elon musk,against musk; against trump; against doge,usa flag; fuck elon; no oligarchs; no elon; musk is a douche; don⊙t buy a swasticar; nazi; no dictators in the usa; musk is out of control; fuck maga; no more business as usual!; stop the coup!; nobody voted for elon musk!; musk is stealing from you; boycott tesla; nazi punk fuck off [elon musk raising his arm]; this is the immigrant who took your job [ elon musk raising his arm]; overthrow the shadow president; pull the plug on musk; this billionaire is detroying our country [elon musk raising his arm]; usa flag; i'm stealing from you [elon musk]; doge is a criminal enterprise; make no mistake this is a coup; presidents are not kinds [donald trump]; resist the musk-trump coup,war and peace; presidency,democracy; economy; immigration; labor and workers rights; war and peace; patriotism; presidency,democracy;economy;immigration;labor and workers rights;patriotism;presidency;war and peace,1.0,1.0,,0,500; around 300; hundreds,200.0,500.0,350.0,2,"carried signs and chanted outside Tesla showroom; , two participants went inside the showroom and refused to leave, while six others sat at the front door and refused to move",,0.0,0.0,9.0,0.0,1,0,0,1,0.0,0.0,"one of the protesters said that a photographer accidentally swung his gear at the glass door, cracking it",JP; SH,bsky.app,www.pilotonline.com,www.amny.com,brooklyneagle.com,,,,,,,,,,,,,,,,,,,,,,,,,,,350.0,against musk; against trump; against doge,against musk against trump against doge,Against,0,2,0,3,True,True,False,False,True,True,True,True
2025-03-01,Reno,NV,Reno,NV,Washoe County,32031.0,39.529919,-119.8142691,"Congressman Mark Amodei’s office, 5310 Kietzke Lane",,protest,indivisible northern nevada; 3rd act,,,rep. mark amodei; president trump; elon musk,against rep. amodei's refusal to discuss the agenda of president trump and elon musk with his constituents; against president trump's policies; for immigrant rights; for democracy; in solidarity with ukraine,,democracy; foreign affairs; immigration; legislative; war and peace; presidency,,democracy;foreign affairs;immigration;legislative;presidency;war and peace,1.0,1.0,,0,nearly 1400,1400.0,1400.0,1400.0,3,,,0.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,,SH,www.kolotv.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400.0,against rep. amodei's refusal to discuss the agenda of president trump and elon musk with his constituents; against president trump's policies; for immigrant rights; for democracy; in solidarity with ukraine,against rep amodeis refusal discuss agenda trump elon musk constituent against trump policy for immigrant right for democracy solidarity ukraine,Against,0,2,1,3,True,True,True,True,False,True,True,True
2025-03-04,Seattle,WA,Seattle,WA,King County,53033.0,47.6061389,-122.3328481,Henry M. Jackson Federal Building,,demonstration,,,,president trump; elon musk,against trump; against elon musk; against doge; for democracy,ukraine flag; usa flag; we stand united; impeach trump / disband doge / revoke all eos / we will fight fascism; this is a coup; trump and musk are gay for putin; trump is a russian asset / ukraine is our real ally,democracy; war and peace; presidency,democracy; foreign affairs; lgbtqia; war and peace; patriotism; presidency,democracy;foreign affairs;lgbtqia;patriotism;presidency;war and peace,1.0,1.0,,0,,,,,0,aplified sounds; vandalized Teslas,,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,,ML,www.fox13seattle.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,against trump; against elon musk; against doge; for democracy,against trump against elon musk against doge for democracy,Against,0,3,0,3,True,True,True,False,True,True,True,True
2025-03-07,North Charleston,SC,North Charleston,SC,Charleston County,45019.0,32.8769132,-80.0113869,"Mellow Mushroom, 4855 Tanger Outlet Blvd",,protest,,,,president trump; elon musk,against the trump administration; against elon musk's involvement in the trump administration; agaisnt the war in ukraine,long live ukraine,foreign affairs; war and peace; presidency,foreign affairs; war and peace,foreign affairs;presidency;war and peace,1.0,1.0,,0,a,1.0,1.0,1.0,1,set fire to multiple Tesla charging ports; accidentally set himself on fire,called to scene,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,"protester fled the scene before police arrived; reports of protester accidentally setting his clothing on fire; unclear if protester was injured; reported $60,000 worth of damage to the charging stations",ML,www.oregonlive.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,against the trump administration; against elon musk's involvement in the trump administration; against the war in ukraine,against trump against elon musk involvement trump against war ukraine,Against,0,1,0,3,True,True,True,False,True,True,True,True
2025-03-08,Concord,MA,Concord,MA,Middlesex County,25017.0,42.460372,-71.348948,Main St & Park St,,demonstration,,,,,for womens rights; against the trump administration,women are not state property; rainbow pride flag; trans pride flag; tariffs are taxes on you; stop project 2025; usa flag; resist; protect our parks,war and peace; presidency; women's rights,democracy; lgbtqia; war and peace; patriotism; taxes; women's rights,democracy;lgbtqia;patriotism;presidency;taxes;war and peace;women's rights,1.0,1.0,,0,hundreds,200.0,200.0,200.0,2,,on scene; came after one protestor was hit by a car,1.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,,BO,www.concordmonitor.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,for womens rights; against the trump administration,for women right against trump,Against,0,1,0,1,False,True,True,True,False,True,True,True
2025-03-11,New York,NY,New York,NY,,36061.0,40.7127753,-74.0059728,"Washington Square Park, Manhattan; New York City Hall, Manhattan",,demonstration,nyu students for a democratic society; nyu queer union; students for justice in palestine; wagner advocacy political action; jews against zionism; cuny for palestine,students,,new york university; ice; president trump,against detention and deportation of mahmoud khalil; against nyu policies against student protest; against president trump; for free speech; for palestinian liberation,palestine flag; anti-israel is not anti-semitism; free mahmoud khalil now!; no compliance with trump's violence; free mahmoud khalil now; release mahmoud khalil;,civil rights; education; foreign affairs; free speech; immigration; war and peace; presidency,foreign affairs; war and peace; presidency; religion,civil rights;education;foreign affairs;free speech;immigration;presidency;religion;war and peace,1.0,1.0,,0,hundreds,200.0,200.0,200.0,2,,,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,,CS; SH; ML,www.instagram.com,www.nytimes.com,www.fox5ny.com,nyunews.com,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,against detention and deportation of mahmoud khalil; against nyu policies against student protest; against president trump; for free speech; for palestinian liberation,against detention deportation mahmoud khalil against nyu policy against student protest against trump for free speech for palestinian liberation,Against,0,1,0,4,True,True,False,True,True,True,True,True
2025-03-12,New York,NY,New York,NY,,36061.0,40.7127753,-74.0059728,"Foley Square, Manhattan",All Out for Mahmoud Khalil,demonstration,south asia left,,Actor Susan Sarandon,president trump; ice,against detention and deportation of mahmoud khalil; for free speech; for palestinian liberation; against president trump,palestine flag; ireland flag; free mahmoud; we want justice / you say how; free mahmoud khalil now!; release mahmoud khalil now; ice hands off; then they came for mahmoud; hands off our students; you cannot cover up genocide; free speech / free khalil;,civil rights; foreign affairs; free speech; immigration; war and peace; presidency,civil rights; education; foreign affairs; free speech; immigration; war and peace,civil rights;education;foreign affairs;free speech;immigration;presidency;war and peace,1.0,1.0,,0,hundreds; over 1000; thousands,200.0,2000.0,1100.0,3,demonstrated opposite courthouse holding signs and banners; listened to speeches; drums,on scene; at least one protester arrested,0.0,0.0,1.0,0.0,1,0,0,0,0.0,0.0,,CS; ML,www.instagram.com,apnews.com,www.workers.org,www.fox5ny.com,www.wsws.org,,,,,,,,,,,,,,,,,,,,,,,,,,1100.0,against detention and deportation of mahmoud khalil; for free speech; for palestinian liberation; against president trump,against detention deportation mahmoud khalil for free speech for palestinian liberation against trump,Against,0,1,0,2,True,True,False,True,True,True,True,True
2025-03-12,Washington,DC,Washington,DC,District of Columbia,11001.0,38.9071923,-77.0368707,Columbus Circle; US Capitol; Russell Senate Office Building,Save Our Health Care March,demonstration; civil disobedience,center for popular democracy,,Sen. Bernie Sanders,president trump; elon musk,against cuts to medicaid; for access to healthcare,our healthcare is not for sale; some cuts don't heal,healthcare; war and peace,healthcare; war and peace,healthcare;war and peace,1.0,1.0,,0,more than 1000,1000.0,1000.0,1000.0,3,amplified sound; sit in at Russell Senate Office Building,,0.0,0.0,1.0,0.0,1,0,0,0,0.0,0.0,,ML; AB,wtop.com,www.wcax.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,against cuts to medicaid; for access to healthcare,against cut medicaid for access healthcare,Against,0,2,0,1,True,True,False,True,True,True,True,True
